slices,colour,cluster,r,value
T3M_7_1_slice9.pkl,val_green,0,135,1.96
T3M_7_1_slice9.pkl,val_green,0,136,1.66
T3M_7_1_slice9.pkl,val_green,0,137,1.68
T3M_7_1_slice9.pkl,val_green,0,138,1.77
T3M_7_1_slice9.pkl,val_green,0,139,2.03
T3M_7_1_slice9.pkl,val_green,0,140,2.26
T3M_7_1_slice9.pkl,val_green,0,141,1.89
T3M_7_1_slice9.pkl,val_green,0,142,2.34
T3M_7_1_slice9.pkl,val_green,0,143,2.41
T3M_7_1_slice9.pkl,val_green,0,144,2.5
T3M_7_1_slice9.pkl,val_green,0,145,2.67
T3M_7_1_slice9.pkl,val_green,0,146,3.06
T3M_7_1_slice9.pkl,val_green,0,147,3.4
T3M_7_1_slice9.pkl,val_green,0,148,3.54
T3M_7_1_slice9.pkl,val_green,0,149,3.94
T3M_7_1_slice9.pkl,val_green,0,150,4.55
T3M_7_1_slice9.pkl,val_green,0,151,5.62
T3M_7_1_slice9.pkl,val_green,0,152,7.1
T3M_7_1_slice9.pkl,val_green,0,153,7.62
T3M_7_1_slice9.pkl,val_green,0,154,9.93
T3M_7_1_slice9.pkl,val_green,0,155,11.97
T3M_7_1_slice9.pkl,val_green,0,156,13.53
T3M_7_1_slice9.pkl,val_green,0,157,16.15
T3M_7_1_slice9.pkl,val_green,0,158,18.4
T3M_7_1_slice9.pkl,val_green,0,159,20.12
T3M_7_1_slice9.pkl,val_green,0,160,21.71
T3M_7_1_slice9.pkl,val_green,0,161,23.19
T3M_7_1_slice9.pkl,val_green,0,162,23.75
T3M_7_1_slice9.pkl,val_green,0,163,23.76
T3M_7_1_slice9.pkl,val_green,0,164,25.23
T3M_7_1_slice9.pkl,val_green,0,165,24.4
T3M_7_1_slice9.pkl,val_green,0,166,25.24
T3M_7_1_slice9.pkl,val_green,0,167,23.74
T3M_7_1_slice9.pkl,val_green,0,168,22.78
T3M_7_1_slice9.pkl,val_green,0,169,21.51
T3M_7_1_slice9.pkl,val_green,0,170,20.63
T3M_7_1_slice9.pkl,val_green,0,171,18.42
